id,sleep_hours,work_hours,screen_time,physical_activity,social_interaction,stress_level,diet_quality,smoking,risk_level
134,7.9,8.2,5.0,5,3,5.0,Unhealthy,No,Medium
135,5.2,5.8,6.6,1,1,2.0,Healthy,Yes,Low
136,10.1,7.6,5.6,1,1,4.0,Healthy,No,Medium
137,5.4,5.4,6.6,2,1,8.0,Healthy,Yes,High
138,6.4,3.5,9.1,1,5,4.0,Healthy,Yes,Medium
139,8.6,12.1,5.0,3,5,10.0,Healthy,Yes,High
140,4.5,5.1,5.4,3,3,5.0,Unhealthy,No,Medium
141,7.5,8.5,6.3,4,4,2.0,Unhealthy,No,Low
142,9.6,11.3,5.5,2,1,5.0,Healthy,Yes,Medium
143,3.8,7.2,2.2,5,0,7.0,healthy,No,High
144,7.4,6.5,4.8,3,4,,Healthy,Yes,High
145,7.5,9.7,7.4,0,4,8.0,Unhealthy,No,High
146,8.6,12.4,8.9,1,5,10.0,Healthy,Yes,High
147,4.5,5.5,3.7,5,5,6.0,Healthy,Yes,Medium
148,4.4,8.5,3.7,2,4,9.0,Healthy,No,High
149,8.0,3.8,6.1,3,1,7.0,Healthy,Yes,High
150,7.6,7.8,1.8,4,4,3.0,Unhealthy,Yes,Low
151,7.5,9.1,5.1,3,5,1.0,Unhealthy,Yes,Low
152,7.7,6.4,2.5,0,1,5.0,Unhealthy,No,Medium
153,5.6,7.6,8.7,3,0,9.0,Unhealthy,Yes,High
154,7.5,4.8,4.5,2,5,8.0,Healthy,No,High
155,7.6,9.2,9.3,4,0,6.0,Unhealthy,Yes,Medium
156,5.6,12.2,8.2,4,0,8.0,Unhealthy,Yes,High
157,10.7,5.7,4.7,0,5,,Healthy,No,High
158,7.9,7.1,3.9,2,5,3.0,Unhealthy,No,Low
159,4.6,10.5,5.6,0,0,6.0,Healthy,Yes,Medium
160,8.3,12.6,5.8,0,4,7.0,Unhealthy,Yes,High
161,5.1,4.5,6.7,0,4,2.0,Unhealthy,Yes,Low
162,8.6,8.5,4.4,3,1,7.0,Healthy,Yes,High
163,9.3,9.8,7.5,1,0,10.0,Healthy,No,High
164,5.4,8.7,6.5,3,2,6.0,Unhealthy,No,Medium
165,8.9,1.6,5.3,2,0,2.0,Healthy,No,Low
166,7.8,10.5,4.6,5,3,2.0,Healthy,Yes,Low
167,8.6,13.6,5.6,0,2,6.0,Unhealthy,Yes,Medium
168,10.8,9.3,4.4,0,3,3.0,Unhealthy,Yes,Low
169,6.5,5.9,6.1,1,2,6.0,Unhealthy,Yes,Medium
170,5.5,7.5,6.2,4,5,9.0,Unhealthy,No,High
171,5.2,14.3,6.5,0,1,10.0,Unhealthy,Yes,High
172,5.4,11.7,9.5,3,4,1.0,Unhealthy,No,Low
173,6.8,10.9,5.7,0,1,3.0,Unhealthy,Yes,Low
174,7.7,10.1,8.0,2,2,2.0,Healthy,No,Low
175,7.6,7.0,6.5,1,0,3.0,Unhealthy,No,Low
176,8.7,8.4,5.5,5,1,2.0,Unhealthy,Yes,Low
177,7.0,8.8,5.8,4,2,3.0,Unhealthy,Yes,Low
178,9.9,10.6,5.9,5,0,4.0,Unhealthy,Yes,Medium
179,6.5,13.5,6.6,2,4,7.0,Healthy,No,High
180,12.4,12.4,4.1,3,2,2.0,Unhealthy,No,Low
181,8.3,4.7,3.1,5,3,2.0,Healthy,No,Low
182,5.3,9.7,7.3,2,3,2.0,Unhealthy,Yes,Low
183,4.9,11.2,7.8,5,3,6.0,Unhealthy,Yes,Medium
184,8.0,10.9,7.5,0,0,,Healthy,Yes,High
185,6.6,7.1,6.3,1,0,4.0,Healthy,No,Medium
186,8.4,17.7,7.5,0,1,10.0,Healthy,No,High
187,7.9,5.2,7.4,1,0,3.0,Healthy,No,Low
188,,5.8,7.6,3,2,9.0,Unhealthy,No,High
189,5.3,9.7,4.3,2,3,1.0,Unhealthy,Yes,Low
190,4.0,15.4,3.8,5,4,10.0,Healthy,Yes,High
191,6.1,6.5,5.2,1,5,2.0,Unhealthy,Yes,Low
192,8.7,8.2,6.0,2,3,7.0,Unhealthy,Yes,High
193,7.4,12.2,5.5,5,2,3.0,Unhealthy,No,Low
194,4.5,8.9,2.2,1,5,9.0,Healthy,No,High
195,7.3,8.0,9.4,0,4,1.0,Unhealthy,No,Low
196,,10.7,5.5,1,1,9.0,Unhealthy,No,High
197,5.2,9.8,6.3,1,0,6.0,Unhealthy,No,Medium
198,7.3,12.1,8.5,4,2,1.0,Unhealthy,No,Low
199,7.1,12.9,1.3,5,5,9.0,Healthy,Yes,High
200,4.7,9.9,5.0,5,0,9.0,Unhealthy,Yes,High
201,7.7,9.9,5.2,3,1,10.0,Healthy,no,High
202,8.1,9.6,5.3,5,4,5.0,Unhealthy,No,Medium
203,9.2,10.5,5.7,0,5,7.0,Healthy,Yes,High
204,9.1,9.2,8.9,0,2,3.0,Healthy,No,Low
205,4.2,9.0,7.3,2,4,8.0,Unhealthy,No,High
206,40.0,12.6,7.9,1,5,3.0,Unhealthy,Yes,Low
207,8.0,13.5,6.1,1,5,10.0,Healthy,No,High
208,8.0,4.5,3.2,5,2,7.0,Unhealthy,Yes,High
209,8.0,9.0,1.8,1,1,4.0,Unhealthy,Yes,Medium
210,14.7,6.9,2.9,0,1,5.0,Unhealthy,No,Medium
211,8.1,8.1,6.7,4,1,7.0,Healthy,Yes,High
212,9.3,10.2,6.1,2,0,2.0,Unhealthy,Yes,Low
213,8.9,11.0,5.6,1,3,4.0,Healthy,No,Medium
214,8.3,8.7,5.3,4,4,,Unhealthy,No,High
215,6.4,3.3,10.0,5,2,3.0,Unhealthy,Yes,Low
216,8.5,6.1,4.4,3,4,4.0,Healthy,Yes,Medium
217,5.5,11.7,7.9,0,3,10.0,Unhealthy,Yes,High
218,6.5,0.8,6.0,3,0,8.0,Healthy,Yes,High
219,6.0,12.6,5.9,0,0,3.0,Healthy,No,Low
220,7.2,10.6,8.4,2,3,9.0,Unhealthy,Yes,High
221,11.6,12.9,8.9,5,5,5.0,Healthy,Yes,Medium
222,3.3,8.4,5.5,3,2,2.0,Unhealthy,Yes,Low
223,8.4,2.8,7.6,2,3,8.0,Unhealthy,No,High
224,3.8,10.3,,2,0,10.0,Unhealthy,No,High
225,6.1,12.8,6.0,2,5,8.0,healthy,Yes,High
226,9.2,11.8,6.4,3,0,1.0,Healthy,Yes,Low
227,7.1,7.0,4.6,3,5,9.0,Healthy,No,High
228,4.8,9.3,5.4,3,4,2.0,Unhealthy,Yes,Low
229,5.6,7.4,4.8,1,2,4.0,Healthy,No,Medium
230,8.4,6.5,7.8,2,2,6.0,Healthy,No,Medium
231,5.5,11.9,5.8,5,0,9.0,Healthy,Yes,High
232,7.4,5.4,3.4,1,3,1.0,Unhealthy,Yes,Low
233,7.1,6.3,4.6,0,0,9.0,Healthy,Yes,High
234,5.7,5.7,-0.4,3,4,8.0,Unhealthy,Yes,High
235,11.3,4.5,5.0,5,3,7.0,Unhealthy,Yes,High
236,8.3,9.4,6.1,4,0,2.0,Healthy,No,Low
237,2.9,12.5,5.7,0,5,7.0,Unhealthy,Yes,High
238,7.4,8.4,10.0,2,5,2.0,Healthy,No,Low
239,5.7,4.5,7.1,2,2,9.0,Unhealthy,Yes,High
240,8.7,11.5,7.1,5,4,4.0,Unhealthy,Yes,Medium
241,5.4,14.1,2.7,1,0,2.0,Healthy,Yes,Low
242,6.8,7.1,5.3,3,0,5.0,Healthy,No,Medium
243,8.0,7.6,5.0,5,5,9.0,Healthy,No,High
244,8.7,10.5,4.4,3,5,4.0,Unhealthy,No,Medium
245,4.6,13.9,4.4,0,5,5.0,Unhealthy,Yes,Medium
246,6.3,7.4,2.4,5,5,8.0,Healthy,No,High
247,6.1,5.0,3.4,0,1,3.0,Healthy,No,Low
248,5.7,10.9,7.7,0,3,6.0,Unhealthy,No,Medium
249,10.5,11.4,5.7,4,1,1.0,Unhealthy,Yes,Low
250,7.8,9.0,5.0,4,2,3.0,Healthy,No,Low
251,4.5,7.3,6.0,2,3,8.0,Unhealthy,No,High
252,8.8,12.0,8.3,2,4,10.0,Healthy,Yes,High
253,11.2,10.6,6.0,2,3,10.0,Healthy,No,High
254,9.1,6.7,7.1,5,5,6.0,Healthy,Yes,Medium
255,4.0,9.1,4.3,3,0,10.0,Healthy,No,High
256,6.0,4.9,4.8,2,0,4.0,Healthy,No,Medium
257,9.5,11.1,6.7,1,0,8.0,Unhealthy,Yes,High
258,5.6,8.2,9.8,0,3,3.0,Unhealthy,No,Low
259,7.9,7.7,8.9,5,0,2.0,Unhealthy,Yes,Low
260,8.5,8.9,7.2,3,0,10.0,Unhealthy,No,High
261,5.1,9.1,6.3,4,5,8.0,Healthy,Yes,High
262,6.9,11.7,8.8,0,1,4.0,Healthy,No,Medium
263,0.5,10.8,7.6,2,0,9.0,Unhealthy,No,High
264,5.0,8.5,1.4,4,1,3.0,Unhealthy,Yes,Low
265,6.5,11.3,3.9,4,2,9.0,Healthy,Yes,High
266,4.5,10.2,6.7,4,3,10.0,Unhealthy,No,High
267,10.3,7.7,2.4,5,1,6.0,Healthy,Yes,Medium
268,4.1,8.6,4.2,0,5,5.0,Unhealthy,No,Medium
269,6.1,8.6,4.6,3,3,2.0,Unhealthy,Yes,Low
270,7.3,10.5,5.5,0,3,6.0,Healthy,Yes,Medium
271,9.9,7.9,5.4,1,4,4.0,Unhealthy,Yes,Medium
272,4.1,7.8,5.4,2,1,5.0,Unhealthy,Yes,Medium
273,9.3,14.9,7.7,5,0,6.0,Healthy,No,Medium
274,7.0,11.8,5.5,3,5,7.0,Healthy,Yes,High
275,5.0,6.7,5.2,5,5,4.0,Unhealthy,No,Medium
276,7.9,10.7,3.3,3,4,8.0,Healthy,No,High
277,7.4,9.4,8.0,2,1,5.0,Healthy,No,Medium
278,5.8,10.2,4.7,1,5,7.0,Unhealthy,No,High
279,7.1,9.4,3.8,4,1,6.0,Healthy,No,Medium
280,6.2,12.6,6.4,2,2,5.0,Healthy,No,Medium
281,7.2,10.0,4.5,4,0,7.0,Healthy,No,High
282,8.3,8.8,4.9,2,2,4.0,Unhealthy,Yes,Medium
283,10.2,12.1,6.5,0,3,7.0,healthy,No,High
284,4.5,9.7,5.3,5,0,3.0,Healthy,No,Low
285,11.3,9.4,10.6,1,2,8.0,Unhealthy,No,High
286,3.1,9.9,5.9,5,2,10.0,Unhealthy,No,High
287,6.7,8.7,7.2,1,0,4.0,Healthy,No,Medium
288,8.2,9.0,2.1,2,1,4.0,Unhealthy,Yes,Medium
289,7.6,7.2,4.3,1,3,1.0,Unhealthy,Yes,Low
290,5.8,6.7,3.8,4,4,8.0,Healthy,No,High
291,6.6,6.0,4.1,1,5,5.0,Healthy,Yes,Medium
292,6.0,4.8,6.8,1,4,9.0,Unhealthy,No,High
293,5.8,6.4,8.1,5,4,3.0,Healthy,Yes,Low
294,8.7,8.5,6.7,1,3,5.0,Unhealthy,No,Medium
295,7.7,9.3,5.5,3,0,4.0,Healthy,No,Medium
296,5.6,8.2,4.7,2,0,7.0,Unhealthy,Yes,High
297,8.8,1.9,8.2,0,0,10.0,Healthy,No,High
298,7.6,13.7,10.1,0,4,5.0,Healthy,Yes,Medium
299,8.6,12.3,6.3,3,1,2.0,Healthy,Yes,Low
300,8.3,10.3,7.9,5,2,,Unhealthy,Yes,Medium
301,5.3,14.7,6.7,3,4,4.0,Unhealthy,No,Medium
302,5.9,6.1,7.5,0,3,6.0,Unhealthy,No,Medium
303,8.5,14.7,3.7,4,0,1.0,Healthy,No,Low
304,40.0,6.1,5.0,0,2,1.0,Unhealthy,No,Low
305,7.0,9.7,6.8,0,0,4.0,Healthy,Yes,Medium
306,7.2,5.2,8.4,2,0,7.0,Healthy,Yes,High
307,9.6,9.0,4.4,0,0,7.0,Healthy,Yes,High
308,5.8,10.2,1.9,0,5,1.0,Healthy,Yes,Low
309,8.1,8.5,5.0,1,1,5.0,Unhealthy,Yes,Medium
310,6.6,11.1,8.0,3,2,6.0,Unhealthy,no,Medium
311,6.6,9.3,2.8,0,4,5.0,Unhealthy,No,Medium
312,9.2,7.4,3.6,0,1,7.0,Healthy,No,High
313,8.7,7.3,6.3,4,5,6.0,Unhealthy,Yes,Medium
314,8.6,11.4,5.8,0,3,5.0,Unhealthy,No,Medium
315,9.6,7.0,7.2,2,5,5.0,Unhealthy,Yes,Medium
316,7.0,11.7,3.5,5,3,9.0,Healthy,Yes,High
317,8.4,12.7,5.4,4,5,3.0,Unhealthy,No,Low
318,6.4,4.0,8.4,0,4,,Healthy,No,High
319,7.6,12.4,3.6,5,2,2.0,Healthy,No,Low
320,6.7,15.2,9.0,2,4,10.0,Unhealthy,No,High
321,7.2,9.8,3.9,3,1,,Healthy,No,High
322,8.2,10.8,7.7,0,2,6.0,Healthy,No,Medium
323,5.4,12.1,5.3,3,3,8.0,Healthy,No,High
324,11.2,8.2,3.7,0,2,,Healthy,No,High
325,5.0,9.5,5.0,4,2,6.0,Unhealthy,No,Medium
326,4.6,5.1,7.1,4,2,2.0,Unhealthy,No,Low
327,9.3,9.4,6.0,5,4,10.0,Healthy,Yes,High
328,8.6,10.5,8.2,2,0,4.0,Unhealthy,No,Medium
329,8.2,10.5,8.9,1,1,3.0,Healthy,No,Low
330,8.3,12.2,3.6,5,2,3.0,Healthy,Yes,Low
331,7.0,6.7,3.5,5,2,5.0,Healthy,No,Medium
332,5.2,7.4,3.4,2,4,10.0,Unhealthy,No,High
333,7.2,14.7,4.2,0,1,1.0,Healthy,Yes,Low
334,5.6,8.5,8.2,3,1,9.0,Healthy,No,High
335,9.0,9.6,7.1,3,3,4.0,Unhealthy,Yes,Medium
336,6.7,8.8,4.9,0,1,7.0,Unhealthy,Yes,High
337,5.3,6.5,6.0,1,1,7.0,Healthy,Yes,High
338,6.4,13.9,8.8,1,2,7.0,Unhealthy,Yes,High
339,7.8,7.4,9.8,1,0,5.0,healthy,No,Medium
340,5.9,5.6,6.5,0,2,4.0,Healthy,No,Medium
341,5.4,7.6,0.7,4,5,4.0,Healthy,No,Medium
342,7.5,3.0,6.6,5,4,5.0,Healthy,No,Medium
343,7.5,7.0,7.9,4,1,6.0,Healthy,Yes,Medium
344,6.0,6.1,6.4,0,0,10.0,Unhealthy,Yes,High
345,6.1,10.9,7.5,4,2,7.0,Unhealthy,Yes,High
346,7.5,7.0,6.7,1,5,5.0,Healthy,No,Medium
347,4.1,11.7,3.5,4,3,9.0,Healthy,Yes,High
348,4.2,13.2,4.2,0,4,9.0,Unhealthy,Yes,High
349,5.6,11.3,5.4,5,5,1.0,Healthy,Yes,Low
350,6.6,8.4,8.1,4,4,5.0,Healthy,Yes,Medium
351,7.6,9.4,4.5,4,5,2.0,Healthy,No,Low
352,10.0,4.4,6.9,4,4,4.0,Unhealthy,No,Medium
353,8.7,8.6,6.6,4,2,7.0,Healthy,No,High
354,6.7,6.4,9.2,5,0,10.0,Healthy,Yes,High
355,7.0,11.1,5.9,0,0,6.0,Healthy,Yes,Medium
356,5.0,16.7,2.5,2,1,7.0,Healthy,No,High
357,7.0,10.5,7.3,4,0,3.0,Healthy,Yes,Low
358,6.4,3.0,10.3,2,3,5.0,Unhealthy,Yes,Medium
359,7.6,7.9,7.4,5,5,6.0,Unhealthy,No,Medium
360,5.3,9.4,4.4,0,4,6.0,Unhealthy,No,Medium
361,8.0,9.3,3.8,3,2,6.0,Unhealthy,No,Medium
362,10.1,6.8,4.1,2,4,9.0,Unhealthy,No,High
363,6.8,9.7,10.0,0,4,6.0,Healthy,No,Medium
364,7.8,5.3,5.3,3,3,2.0,Unhealthy,Yes,Low
365,8.4,6.2,4.7,4,5,9.0,Healthy,No,High
366,6.2,10.9,5.7,5,4,4.0,Unhealthy,No,Medium
367,7.4,6.0,5.4,5,4,7.0,Unhealthy,No,High
368,7.0,10.6,9.1,0,3,6.0,Healthy,No,Medium
369,7.2,4.9,4.0,1,3,9.0,Healthy,Yes,High
370,5.5,14.3,8.4,3,0,10.0,Healthy,Yes,High
371,7.0,6.7,6.2,1,5,3.0,Unhealthy,No,Low
372,8.0,8.3,8.4,5,4,8.0,Healthy,Yes,High
373,9.9,10.0,9.2,5,5,5.0,Unhealthy,Yes,Medium
374,8.9,7.3,6.2,4,1,6.0,Unhealthy,No,Medium
375,11.3,9.4,5.4,4,1,3.0,Healthy,Yes,Low
376,5.5,10.7,6.1,2,1,3.0,Healthy,No,Low
377,8.7,11.9,5.8,5,5,7.0,Unhealthy,Yes,High
378,7.4,11.4,2.7,4,3,6.0,Unhealthy,No,Medium
379,11.4,8.5,9.1,2,4,2.0,Healthy,Yes,Low
380,5.4,8.6,6.5,3,0,10.0,Healthy,No,High
381,5.3,16.0,3.7,1,4,8.0,Healthy,Yes,High
382,5.8,11.8,1.9,3,1,5.0,Unhealthy,Yes,Medium
383,2.8,6.2,1.3,1,5,7.0,Healthy,Yes,High
384,5.9,9.3,7.5,0,2,3.0,Unhealthy,No,Low
385,5.5,8.0,4.8,3,5,10.0,Unhealthy,Yes,High
386,7.3,8.6,5.1,0,1,5.0,Healthy,Yes,Medium
387,7.7,5.3,7.0,1,5,3.0,Healthy,No,Low
388,10.8,7.8,5.0,5,5,3.0,Healthy,Yes,Low
389,8.9,14.4,7.1,5,5,1.0,Unhealthy,Yes,Low
390,5.8,10.7,6.2,2,3,3.0,Unhealthy,No,Low
391,5.2,1.5,5.8,3,4,7.0,Unhealthy,Yes,High
392,8.0,12.7,2.9,3,3,9.0,Unhealthy,No,High
393,4.4,12.3,4.4,2,5,1.0,Unhealthy,No,Low
394,10.7,7.9,7.2,2,0,4.0,Healthy,No,Medium
395,9.4,11.2,4.6,4,4,10.0,Healthy,No,High
396,6.1,6.4,8.4,5,4,7.0,Healthy,No,High
397,3.6,7.6,10.7,4,4,6.0,Healthy,No,Medium
398,9.7,13.5,7.3,1,2,4.0,Healthy,Yes,Medium
399,6.8,8.2,9.0,5,4,3.0,Unhealthy,No,Low
400,9.5,3.4,7.4,3,2,6.0,Healthy,No,Medium
401,3.8,8.8,4.9,2,4,4.0,Unhealthy,No,Medium
402,5.8,8.8,6.4,2,5,5.0,Unhealthy,Yes,Medium
403,7.0,12.6,10.0,5,1,2.0,Unhealthy,No,Low
404,7.1,9.0,,0,0,9.0,Unhealthy,Yes,High
405,6.1,7.7,3.9,4,4,2.0,Unhealthy,No,Low
406,8.2,12.1,3.7,5,3,4.0,Healthy,No,Medium
407,4.9,9.4,5.6,5,1,8.0,Unhealthy,No,High
408,6.7,6.7,4.0,0,3,7.0,Healthy,Yes,High
409,7.2,12.5,9.3,2,3,4.0,Healthy,No,Medium
410,8.0,9.6,6.4,3,2,8.0,Healthy,Yes,High
411,8.4,9.0,7.9,3,0,6.0,Healthy,Yes,Medium
412,4.8,9.5,5.4,0,3,8.0,Unhealthy,Yes,High
